母管長度(mm),母管數量,組合規格(mm),段數,合計寬度(mm),修邊損耗(mm),修邊損耗率
4600,85,2050 + 2500,2,4550,50,1.09%
4400,78,2100 + 2300,2,4400,0,0.00%
4400,72,2000 + 2400,2,4400,0,0.00%
4600,66,2000 + 2600,2,4600,0,0.00%
4600,51,1900 + 2700,2,4600,0,0.00%
4600,49,2150 + 2450,2,4600,0,0.00%
4400,46,2200 + 2200,2,4400,0,0.00%
4600,43,1800 + 2800,2,4600,0,0.00%
4600,38,1200 + 1700 + 1700,3,4600,0,0.00%
4400,38,2100 + 2250,2,4350,50,1.14%
4600,33,2100 + 2500,2,4600,0,0.00%
4600,28,1300 + 1350 + 1950,3,4600,0,0.00%
4600,27,1350 + 1400 + 1850,3,4600,0,0.00%
4600,24,1300 + 1650 + 1650,3,4600,0,0.00%
4600,23,2150 + 2400,2,4550,50,1.09%
4600,20,1400 + 1400 + 1800,3,4600,0,0.00%
4600,18,2050 + 2550,2,4600,0,0.00%
4600,17,1750 + 2850,2,4600,0,0.00%
4400,17,2000 + 2350,2,4350,50,1.14%
4600,16,950 + 1750 + 1900,3,4600,0,0.00%
4600,15,2250 + 2350,2,4600,0,0.00%
4600,14,1950 + 2650,2,4600,0,0.00%
4600,12,1050 + 1700 + 1850,3,4600,0,0.00%
4600,11,1000 + 1700 + 1900,3,4600,0,0.00%
4600,11,1200 + 1400 + 2000,3,4600,0,0.00%
4600,11,1500 + 1500 + 1600,3,4600,0,0.00%
4600,11,1850 + 2750,2,4600,0,0.00%
4400,9,2150 + 2250,2,4400,0,0.00%
4600,8,1300 + 1400 + 1900,3,4600,0,0.00%
4600,7,1400 + 1600 + 1600,3,4600,0,0.00%
4600,7,1500 + 1550 + 1550,3,4600,0,0.00%
4600,6,1200 + 1450 + 1950,3,4600,0,0.00%
4600,6,1250 + 1400 + 1950,3,4600,0,0.00%
4600,6,1600 + 3000,2,4600,0,0.00%
4600,5,950 + 1700 + 1950,3,4600,0,0.00%
4600,3,1050 + 1600 + 1950,3,4600,0,0.00%
4600,3,1150 + 1550 + 1900,3,4600,0,0.00%
4600,3,1200 + 1550 + 1850,3,4600,0,0.00%
4600,3,1450 + 3150,2,4600,0,0.00%
4600,3,1500 + 3100,2,4600,0,0.00%
4600,3,1700 + 2900,2,4600,0,0.00%
4600,1,1250 + 1650 + 1700,3,4600,0,0.00%
4600,1,1350 + 1350 + 1900,3,4600,0,0.00%
4600,1,1450 + 1550 + 1550,3,4550,50,1.09%
4600,1,2200 + 2400,2,4600,0,0.00%
