規格(mm),所需紙管數,Round1產出,Round2產出,合計產出,缺口
950,21,21,0,21,0
1000,11,11,0,11,0
1050,14,14,0,14,0
1150,3,3,0,3,0
1200,58,58,0,58,0
1250,7,7,0,7,0
1300,60,60,0,60,0
1350,57,57,0,57,0
1400,99,99,0,99,0
1450,10,10,0,10,0
1500,32,32,0,32,0
1550,22,22,0,22,0
1600,34,34,0,34,0
1650,49,49,0,49,0
1700,108,108,0,108,0
1750,34,34,0,34,0
1800,63,63,0,63,0
1850,53,53,0,53,0
1900,90,90,0,90,0
1950,62,62,0,62,0
2000,167,167,0,167,0
2050,103,103,0,103,0
2100,149,149,0,149,0
2150,81,81,0,81,0
2200,93,93,0,93,0
2250,62,62,0,62,0
2300,78,78,0,78,0
2350,32,32,0,32,0
2400,96,96,0,96,0
2450,49,49,0,49,0
2500,118,118,0,118,0
2550,18,18,0,18,0
2600,66,66,0,66,0
2650,14,14,0,14,0
2700,50,50,0,50,0
2750,11,11,0,11,0
2800,43,43,0,43,0
2850,17,17,0,17,0
2900,3,3,0,3,0
3000,6,6,0,6,0
3100,3,3,0,3,0
3150,3,3,0,3,0
